,kepid,kepler_name,kepoi_name,koi_disposition,koi_ror,koi_steff,koi_srad,koi_count,koi_num_transits,koi_prad,koi_fittype,koi_eccen,koi_period
4692,8280511,Kepler-271 d,K01151.03,CONFIRMED,0.007159,5528.0,0.853,5,245.0,0.67,LS+MCMC,0.0,5.24970432
4696,12156174,Kepler-1447 b,K03260.01,CONFIRMED,0.028378,5541.0,1.295,1,12.0,4.01,LS+MCMC,0.0,56.6746666
4700,4736644,Kepler-1470 b,K03330.01,CONFIRMED,0.012961,4915.0,0.812,1,84.0,1.15,LS+MCMC,0.0,16.2951259
4714,12055539,Kepler-1448 b,K03261.01,CONFIRMED,0.015746,6075.0,0.969,1,109.0,1.67,LS+MCMC,0.0,12.27057043
4715,12056139,Kepler-1449 b,K03262.01,CONFIRMED,0.015374,6269.0,1.155,1,104.0,1.94,LS+MCMC,0.0,13.2274753
4726,4473613,Kepler-1623 b,K04803.01,CONFIRMED,0.012616,5520.0,0.873,1,247.0,1.2,LS+MCMC,0.0,4.36125889
4736,8826007,Kepler-1450 b,K03266.01,CONFIRMED,0.029482,4406.0,0.603,1,25.0,1.94,LS+MCMC,0.0,54.5091549
4763,5280587,Kepler-1451 b,K03274.01,CONFIRMED,0.023364,5799.0,0.878,1,33.0,2.24,LS+MCMC,0.0,35.6225528
4766,4138008,Kepler-442 b,K04742.01,CONFIRMED,0.020068,4401.0,0.595,1,12.0,1.3,LS+MCMC,0.0,112.303136
4784,3120904,Kepler-1452 b,K03277.01,CONFIRMED,0.011762,6049.0,2.483,1,32.0,3.19,LS+MCMC,0.0,42.9136635
4786,11757451,Kepler-443 b,K04745.01,CONFIRMED,0.030353,4721.0,0.701,1,8.0,2.32,LS+MCMC,0.0,177.668663
4788,8047428,Kepler-1621 b,K04747.01,CONFIRMED,0.015844,6084.0,1.283,1,15.0,2.22,LS+MCMC,0.0,92.263742
4797,11189311,Kepler-1442 b,K03220.01,CONFIRMED,0.030244,6352.0,1.401,1,17.0,4.63,LS+MCMC,0.0,81.4160138
4804,10653179,Kepler-1453 b,K03280.01,CONFIRMED,0.02451,5936.0,0.965,1,25.0,2.58,LS+MCMC,0.0,47.1607932
4805,12066569,Kepler-1455 b,K03282.01,CONFIRMED,0.030272,3899.0,0.529,1,26.0,1.75,LS+MCMC,0.0,49.2768448
4806,6497146,Kepler-438 b,K03284.01,CONFIRMED,0.016941,3749.0,0.524,1,38.0,0.97,LS+MCMC,0.0,35.2330694
4824,8016691,Kepler-1456 b,K03286.01,CONFIRMED,0.021423,4257.0,0.602,1,67.0,1.41,LS+MCMC,0.0,18.1373788
4825,6584273,Kepler-1457 b,K03287.01,CONFIRMED,0.016631,5968.0,0.881,1,19.0,1.6,LS+MCMC,0.0,51.1104797
4826,5768816,Kepler-1458 b,K03288.01,CONFIRMED,0.031301,5641.0,0.981,1,22.0,3.35,LS+MCMC,0.0,47.9869119
4872,4939346,Kepler-328 b,K01873.02,CONFIRMED,0.020479,6194.0,1.069,2,30.0,2.39,LS+MCMC,0.0,34.9168399
4876,11455428,Kepler-1480 A b,K03365.01,CONFIRMED,0.024942,5312.0,1.445,1,56.0,3.94,LS+MCMC,0.0,22.1270885
4883,6265665,Kepler-1499 b,K03436.01,CONFIRMED,0.013886,5002.0,0.753,1,26.0,1.14,LS+MCMC,0.0,44.2018402
4885,4645174,Kepler-1500 b,K03437.01,CONFIRMED,0.012497,5849.0,1.601,2,92.0,2.18,LS+MCMC,0.0,15.0330623
4901,11657614,Kepler-1481 b,K03370.02,CONFIRMED,0.014007,4891.0,0.805,2,228.0,1.23,LS+MCMC,0.0,5.94228603
4906,6599975,Kepler-1501 b,K03438.01,CONFIRMED,0.009286,6065.0,1.061,1,94.0,1.08,LS+MCMC,0.0,14.5565618
4909,4282191,Kepler-1502 b,K03439.01,CONFIRMED,0.017621,6434.0,1.138,1,24.0,2.19,LS+MCMC,0.0,41.7084063
4923,9967771,Kepler-990 c,K01875.02,CONFIRMED,0.012638,5539.0,1.207,2,1979.0,1.67,LS+MCMC,0.0,0.53835407
4927,6705026,Kepler-1483 b,K03374.01,CONFIRMED,0.009069,6144.0,1.668,2,139.0,1.65,LS+MCMC,0.0,9.5084871
4932,7288306,Kepler-1503 b,K03443.01,CONFIRMED,0.026984,5340.0,0.702,1,15.0,2.07,LS+MCMC,0.0,96.169569
4937,11860395,Kepler-1504 b,K03445.01,CONFIRMED,0.028716,5602.0,1.425,1,17.0,4.47,LS+MCMC,0.0,82.303914
4940,9529744,Kepler-320 c,K01806.02,CONFIRMED,0.014464,6426.0,1.775,3,56.0,2.8,LS+MCMC,0.0,17.9346606
4952,2995392,Kepler-1484 b,K03379.01,CONFIRMED,0.0242,6283.0,0.984,1,45.0,2.6,LS+MCMC,0.0,30.4544418
4978,6975129,Kepler-312 b,K01628.02,CONFIRMED,0.008154,6243.0,1.149,3,741.0,1.02,LS+MCMC,0.0,1.772451066
4979,8644365,Kepler-1485 b,K03384.02,CONFIRMED,0.011866,6047.0,1.092,2,68.0,1.41,LS+MCMC,0.0,19.9158863
4987,6364582,Kepler-1505 b,K03456.01,CONFIRMED,0.011914,5627.0,0.833,2,33.0,1.08,LS+MCMC,0.0,30.8609783
4991,9529744,Kepler-320 b,K01806.03,CONFIRMED,0.012311,6426.0,1.775,3,116.0,2.39,LS+MCMC,0.0,8.37159554
5000,10328393,Kepler-332 c,K01905.02,CONFIRMED,0.013216,4955.0,0.721,3,79.0,1.04,LS+MCMC,0.0,15.99560373
5008,6118370,Kepler-1506 b,K03458.01,CONFIRMED,0.013277,6063.0,1.001,1,82.0,1.45,LS+MCMC,0.0,14.0328775
5024,11521793,Kepler-143 b,K00352.02,CONFIRMED,0.020964,5857.0,1.305,2,80.0,2.99,LS+MCMC,0.0,16.00747237
5025,9085563,Kepler-1486 b,K03393.01,CONFIRMED,0.018829,5751.0,1.282,1,19.0,2.64,LS+MCMC,0.0,54.6493679
5026,11337372,Kepler-920 c,K01650.02,CONFIRMED,0.040808,5301.0,0.977,2,8.0,4.35,LS+MCMC,0.0,100.8276725
5034,9763612,Kepler-1507 b,K03465.01,CONFIRMED,0.008729,5428.0,0.853,1,87.0,0.81,LS+MCMC,0.0,16.0505464
5051,3561464,Kepler-1487 b,K03398.01,CONFIRMED,0.011683,5745.0,3.955,3,142.0,5.05,LS+MCMC,0.0,7.31945294
5057,5213404,Kepler-1508 b,K03468.01,CONFIRMED,0.012104,5668.0,2.437,1,66.0,3.22,LS+MCMC,0.0,20.7057153
5060,11551692,Kepler-411 A d,K01781.03,CONFIRMED,0.044054,4920.0,0.72,3,16.0,3.46,LS+MCMC,0.0,58.0198583
5080,11754430,Kepler-1488 b,K03403.01,CONFIRMED,0.013418,5710.0,1.524,2,27.0,2.23,LS+MCMC,0.0,39.818832
5081,9995771,Kepler-1509 b,K03470.02,CONFIRMED,0.015845,5806.0,1.158,2,43.0,2.0,LS+MCMC,0.0,25.4337864
5087,3326377,Kepler-967 c,K01830.02,CONFIRMED,0.040799,5180.0,0.8,2,8.0,3.56,LS+MCMC,0.0,198.7106251
5097,6021275,Kepler-132 A e,K00284.04,CONFIRMED,0.011693,5931.0,1.101,4,8.0,1.41,LS+MCMC,0.0,110.2867031
5101,8409295,Kepler-1489 b,K03404.01,CONFIRMED,0.017445,5626.0,0.957,1,16.0,1.82,LS+MCMC,0.0,82.292865
5102,7131760,Kepler-1490 b,K03407.01,CONFIRMED,0.035765,5595.0,0.741,1,15.0,2.89,LS+MCMC,0.0,92.436978
