,kepid,kepler_name,kepoi_name,koi_disposition,koi_ror,koi_steff,koi_srad,koi_count,koi_num_transits,koi_prad,koi_fittype,koi_eccen,koi_period
0,10797460,Kepler-227 b,K00752.01,CONFIRMED,0.022344,5455.0,0.927,2,142.0,2.26,LS+MCMC,0.0,9.48803557
1,10797460,Kepler-227 c,K00752.02,CONFIRMED,0.027954,5455.0,0.927,2,25.0,2.83,LS+MCMC,0.0,54.4183827
4,10854555,Kepler-664 b,K00755.01,CONFIRMED,0.024064,6031.0,1.046,1,515.0,2.75,LS+MCMC,0.0,2.525591777
5,10872983,Kepler-228 d,K00756.01,CONFIRMED,0.036779,6046.0,0.972,3,95.0,3.9,LS+MCMC,0.0,11.09432054
6,10872983,Kepler-228 c,K00756.02,CONFIRMED,0.026133,6046.0,0.972,3,240.0,2.77,LS+MCMC,0.0,4.13443512
7,10872983,Kepler-228 b,K00756.03,CONFIRMED,0.014983,6046.0,0.972,3,355.0,1.59,LS+MCMC,0.0,2.56658897
9,10910878,Kepler-229 c,K00757.01,CONFIRMED,0.062161,5031.0,0.848,3,69.0,5.76,LS+MCMC,0.0,16.06864674
10,11446443,Kepler-1 b,K00001.01,CONFIRMED,0.123871,5820.0,0.964,1,432.0,13.04,LS+MCMC,0.0,2.470613377
11,10666592,Kepler-2 b,K00002.01,CONFIRMED,0.075522,6440.0,1.952,1,611.0,16.1,LS+MCMC,0.0,2.204735417
12,6922244,Kepler-8 b,K00010.01,CONFIRMED,0.092086,6225.0,1.451,1,384.0,14.59,LS+MCMC,0.0,3.522498429
13,10984090,Kepler-466 c,K00112.02,CONFIRMED,0.010424,5833.0,1.022,2,352.0,1.16,LS+MCMC,0.0,3.709214104
18,10526549,Kepler-660 b,K00746.01,CONFIRMED,0.032563,4856.0,0.696,1,144.0,2.47,LS+MCMC,0.0,9.27358173
19,10583066,Kepler-661 b,K00747.01,CONFIRMED,0.038838,4537.0,0.672,1,215.0,2.85,LS+MCMC,0.0,6.02930329
21,10601284,Kepler-226 c,K00749.01,CONFIRMED,0.025706,5185.0,0.91,3,247.0,2.55,LS+MCMC,0.0,5.349553819
22,10601284,Kepler-226 b,K00749.02,CONFIRMED,0.017105,5185.0,0.91,3,322.0,1.7,LS+MCMC,0.0,3.94105221
23,10601284,Kepler-226 d,K00749.03,CONFIRMED,0.013127,5185.0,0.91,3,141.0,1.3,LS+MCMC,0.0,8.10904807
25,10662202,Kepler-662 b,K00750.01,CONFIRMED,0.032666,4954.0,0.828,4,62.0,2.95,LS+MCMC,0.0,21.67699193
26,10682541,Kepler-663 b,K00751.01,CONFIRMED,0.030014,5339.0,0.847,1,208.0,2.78,LS+MCMC,0.0,4.99677968
27,11460018,Kepler-671 b,K00769.01,CONFIRMED,0.025377,5644.0,0.831,1,311.0,2.3,LS+MCMC,0.0,4.280963604
31,11507101,Kepler-672 b,K00773.01,CONFIRMED,0.024901,5481.0,1.036,1,37.0,2.82,LS+MCMC,0.0,38.3775486
32,10910878,Kepler-229 d,K00757.02,CONFIRMED,0.041693,5031.0,0.848,3,26.0,3.86,LS+MCMC,0.0,41.19725502
33,10910878,Kepler-229 b,K00757.03,CONFIRMED,0.028604,5031.0,0.848,3,167.0,2.65,LS+MCMC,0.0,6.252962249
34,10987985,Kepler-665 b,K00758.01,CONFIRMED,0.034369,5015.0,0.826,1,65.0,3.1,LS+MCMC,0.0,16.01308419
35,11018648,Kepler-230 b,K00759.01,CONFIRMED,0.03852,5586.0,0.798,2,34.0,3.36,LS+MCMC,0.0,32.62876672
36,11018648,Kepler-230 c,K00759.02,CONFIRMED,0.02432,5586.0,0.798,2,11.0,2.12,LS+MCMC,0.0,91.7732862
39,11153539,Kepler-666 b,K00762.01,CONFIRMED,0.019817,6075.0,0.969,1,238.0,2.1,LS+MCMC,0.0,4.49876511
41,9579641,Kepler-105 b,K00115.01,CONFIRMED,0.024775,5779.0,1.087,3,244.0,2.94,LS+MCMC,0.0,5.412203927
42,11304958,Kepler-667 b,K00764.01,CONFIRMED,0.048175,5468.0,1.046,1,33.0,5.5,LS+MCMC,0.0,41.43958662
43,11391957,Kepler-668 b,K00765.01,CONFIRMED,0.029305,5592.0,0.787,1,127.0,2.52,LS+MCMC,0.0,8.35389523
44,11403044,Kepler-669 b,K00766.01,CONFIRMED,0.036796,6174.0,1.103,1,323.0,4.43,LS+MCMC,0.0,4.125543472
45,11414511,Kepler-670 b,K00767.01,CONFIRMED,0.117059,5532.0,0.955,1,474.0,12.21,LS+MCMC,0.0,2.816504904
47,12110942,Kepler-680 b,K00786.01,CONFIRMED,0.018878,5880.0,0.917,1,360.0,1.89,LS+MCMC,0.0,3.689920099
48,12366084,Kepler-232 b,K00787.01,CONFIRMED,0.02933,5714.0,1.015,3,302.0,3.25,LS+MCMC,0.0,4.431238488
49,12366084,Kepler-232 c,K00787.02,CONFIRMED,0.035628,5714.0,1.015,3,109.0,3.95,LS+MCMC,0.0,11.37936986
50,12404086,Kepler-681 b,K00788.01,CONFIRMED,0.03681,5129.0,0.763,1,51.0,3.07,LS+MCMC,0.0,26.39432897
51,8395660,Kepler-106 c,K00116.01,CONFIRMED,0.023908,5854.0,1.012,4,101.0,2.64,LS+MCMC,0.0,13.57078281
52,9579641,Kepler-105 c,K00115.02,CONFIRMED,0.01512,5779.0,1.087,3,181.0,1.79,LS+MCMC,0.0,7.12594387
54,11754553,Kepler-52 c,K00775.01,CONFIRMED,0.029758,4126.0,0.615,3,65.0,2.0,LS+MCMC,0.0,16.38489988
55,11754553,Kepler-52 b,K00775.02,CONFIRMED,0.03209,4126.0,0.615,3,135.0,2.16,LS+MCMC,0.0,7.8774163
56,11754553,Kepler-52 d,K00775.03,CONFIRMED,0.029681,4126.0,0.615,3,27.0,1.99,LS+MCMC,0.0,36.4454001
57,11812062,Kepler-673 b,K00776.01,CONFIRMED,0.068178,5497.0,0.809,1,357.0,6.02,LS+MCMC,0.0,3.728732147
59,11853255,Kepler-674 b,K00778.01,CONFIRMED,0.032248,4149.0,0.564,1,472.0,1.99,LS+MCMC,0.0,2.243380573
61,11918099,Kepler-675 b,K00780.01,CONFIRMED,0.027998,5005.0,0.765,2,578.0,2.34,LS+MCMC,0.0,2.337437946
64,11923270,Kepler-676 b,K00781.01,CONFIRMED,0.051287,3688.0,0.473,1,115.0,2.65,LS+MCMC,0.0,11.59822233
65,11960862,Kepler-677 b,K00782.01,CONFIRMED,0.049152,5992.0,0.989,1,205.0,5.31,LS+MCMC,0.0,6.575315881
66,12020329,Kepler-678 b,K00783.01,CONFIRMED,0.051358,5485.0,0.867,1,188.0,4.86,LS+MCMC,0.0,7.275040844
67,12066335,Kepler-231 c,K00784.01,CONFIRMED,0.031585,4077.0,0.56,2,67.0,1.93,LS+MCMC,0.0,19.27153892
68,12066335,Kepler-231 b,K00784.02,CONFIRMED,0.031153,4077.0,0.56,2,126.0,1.91,LS+MCMC,0.0,10.06524317
69,12070811,Kepler-679 b,K00785.01,CONFIRMED,0.032536,5557.0,0.75,1,107.0,2.66,LS+MCMC,0.0,12.3935651
70,8395660,Kepler-106 e,K00116.02,CONFIRMED,0.025934,5854.0,1.012,4,29.0,2.87,LS+MCMC,0.0,43.84439721
73,3342970,Kepler-234 b,K00800.01,CONFIRMED,0.026533,6214.0,1.076,2,494.0,3.12,LS+MCMC,0.0,2.711504086
74,3342970,Kepler-234 c,K00800.02,CONFIRMED,0.028255,6214.0,1.076,2,165.0,3.32,LS+MCMC,0.0,7.21203748
76,12470844,Kepler-233 b,K00790.01,CONFIRMED,0.030119,5354.0,0.788,2,159.0,2.59,LS+MCMC,0.0,8.47237911
77,12470844,Kepler-233 c,K00790.02,CONFIRMED,0.027422,5354.0,0.788,2,22.0,2.36,LS+MCMC,0.0,60.4189369
78,12644822,Kepler-682 b,K00791.01,CONFIRMED,0.073758,5795.0,0.919,1,104.0,7.4,LS+MCMC,0.0,12.611904345
81,2713049,Kepler-683 b,K00794.01,CONFIRMED,0.017724,5519.0,1.062,1,528.0,2.06,LS+MCMC,0.0,2.539183147
82,3114167,Kepler-684 b,K00795.01,CONFIRMED,0.037414,5653.0,0.679,1,200.0,2.77,LS+MCMC,0.0,6.770300385
85,4139816,Kepler-235 d,K00812.02,CONFIRMED,0.036455,3950.0,0.493,4,59.0,1.96,LS+MCMC,0.0,20.06036336
86,4139816,Kepler-235 e,K00812.03,CONFIRMED,0.033974,3950.0,0.493,4,25.0,1.83,LS+MCMC,0.0,46.1842039
87,8395660,Kepler-106 d,K00116.04,CONFIRMED,0.011879,5854.0,1.012,4,56.0,1.31,LS+MCMC,0.0,23.9800854
88,4139816,Kepler-235 c,K00812.04,CONFIRMED,0.022312,3950.0,0.493,4,154.0,1.2,LS+MCMC,0.0,7.82502168
89,4275191,Kepler-688 b,K00813.01,CONFIRMED,0.08689,5557.0,0.774,1,275.0,7.34,LS+MCMC,0.0,3.895936525
90,4476123,Kepler-689 b,K00814.01,CONFIRMED,0.028938,5395.0,0.734,1,48.0,2.32,LS+MCMC,0.0,22.36646466
91,3351888,Kepler-685 b,K00801.01,CONFIRMED,0.080543,5539.0,1.106,1,657.0,9.73,LS+MCMC,0.0,1.625522174
96,3832474,Kepler-30 d,K00806.01,CONFIRMED,0.094044,5485.0,0.867,5,9.0,8.9,LS+MCMC,0.0,143.2063047
97,8395660,Kepler-106 b,K00116.03,CONFIRMED,0.007192,5854.0,1.012,4,207.0,0.79,LS+MCMC,0.0,6.164876
98,3832474,Kepler-30 c,K00806.02,CONFIRMED,0.128744,5485.0,0.867,5,22.0,12.19,LS+MCMC,0.0,60.32494216
102,3935914,Kepler-686 b,K00809.01,CONFIRMED,0.115879,5934.0,0.893,1,762.0,11.3,LS+MCMC,0.0,1.594745374
104,4049131,Kepler-687 b,K00811.01,CONFIRMED,0.041039,4905.0,0.761,1,69.0,3.41,LS+MCMC,0.0,20.50588921
105,4139816,Kepler-235 b,K00812.01,CONFIRMED,0.037683,3950.0,0.493,4,398.0,2.03,LS+MCMC,0.0,3.340218842
107,5358241,Kepler-53 b,K00829.01,CONFIRMED,0.027096,5775.0,1.053,3,71.0,3.12,LS+MCMC,0.0,18.64932728
108,10875245,Kepler-107 c,K00117.02,CONFIRMED,0.011136,5847.0,1.402,4,193.0,1.7,LS+MCMC,0.0,4.90144976
109,5358241,Kepler-53 d,K00829.02,CONFIRMED,0.024042,5775.0,1.053,3,132.0,2.76,LS+MCMC,0.0,9.75192101
110,5358241,Kepler-53 c,K00829.03,CONFIRMED,0.03498,5775.0,1.053,3,37.0,4.02,LS+MCMC,0.0,38.5576546
111,5358624,Kepler-428 b,K00830.01,CONFIRMED,0.13372,5150.0,0.793,1,382.0,11.58,LS+MCMC,0.0,3.525632539
113,4664847,Kepler-690 b,K00816.01,CONFIRMED,0.046615,5973.0,1.085,1,133.0,5.52,LS+MCMC,0.0,7.748094239
114,4725681,Kepler-236 c,K00817.01,CONFIRMED,0.03141,3747.0,0.524,2,43.0,1.8,LS+MCMC,0.0,23.96793669
115,4725681,Kepler-236 b,K00817.02,CONFIRMED,0.03178,3747.0,0.524,2,119.0,1.82,LS+MCMC,0.0,8.29561738
116,4913852,Kepler-691 b,K00818.01,CONFIRMED,0.037204,3692.0,0.517,1,167.0,2.1,LS+MCMC,0.0,8.11437482
120,10875245,Kepler-107 e,K00117.01,CONFIRMED,0.018864,5847.0,1.402,4,72.0,2.89,LS+MCMC,0.0,14.74914825
121,5021899,Kepler-692 b,K00821.01,CONFIRMED,0.030952,5601.0,0.999,1,45.0,3.38,LS+MCMC,0.0,21.81295996
124,5164255,Kepler-693 b,K00824.01,CONFIRMED,0.12103,4986.0,0.833,1,50.0,11.01,LS+MCMC,0.0,15.37562369
125,5252423,Kepler-237 c,K00825.01,CONFIRMED,0.026361,4861.0,0.732,2,131.0,2.11,LS+MCMC,0.0,8.10363271
126,5252423,Kepler-237 b,K00825.02,CONFIRMED,0.018268,4861.0,0.732,2,208.0,1.46,LS+MCMC,0.0,4.71510843
127,5272878,Kepler-694 b,K00826.01,CONFIRMED,0.026275,5776.0,0.849,1,216.0,2.44,LS+MCMC,0.0,6.365839713
130,5651104,Kepler-695 b,K00840.01,CONFIRMED,0.104023,5035.0,0.791,1,440.0,8.99,LS+MCMC,0.0,3.04033046
131,5792202,Kepler-27 b,K00841.01,CONFIRMED,0.056,5251.0,0.817,5,85.0,5.0,LS+MCMC,0.0,15.33528675
132,10875245,Kepler-107 d,K00117.04,CONFIRMED,0.006915,5847.0,1.402,4,109.0,1.06,LS+MCMC,0.0,7.95825328
133,5792202,Kepler-27 c,K00841.02,CONFIRMED,0.072904,5251.0,0.817,5,46.0,6.5,LS+MCMC,0.0,31.33046135
137,5436502,Kepler-238 e,K00834.01,CONFIRMED,0.05219,5739.0,1.384,5,57.0,7.89,LS+MCMC,0.0,23.65369415
138,5436502,Kepler-238 d,K00834.02,CONFIRMED,0.020278,5739.0,1.384,5,97.0,3.06,LS+MCMC,0.0,13.23352214
139,5436502,Kepler-238 c,K00834.03,CONFIRMED,0.015336,5739.0,1.384,5,203.0,2.32,LS+MCMC,0.0,6.15560285
140,5436502,Kepler-238 b,K00834.04,CONFIRMED,0.010686,5739.0,1.384,5,527.0,1.62,LS+MCMC,0.0,2.090811305
141,10875245,Kepler-107 b,K00117.03,CONFIRMED,0.009989,5847.0,1.402,4,323.0,1.53,LS+MCMC,0.0,3.180027898
142,5436502,Kepler-238 f,K00834.05,CONFIRMED,0.01767,5739.0,1.384,5,22.0,2.67,LS+MCMC,0.0,50.4467417
143,5456651,Kepler-239 b,K00835.01,CONFIRMED,0.028519,4959.0,0.756,2,88.0,2.35,LS+MCMC,0.0,11.76307164
144,5456651,Kepler-239 c,K00835.02,CONFIRMED,0.028683,4959.0,0.756,2,18.0,2.37,LS+MCMC,0.0,56.2279271
146,5531576,Kepler-240 c,K00837.01,CONFIRMED,0.026448,4768.0,0.779,2,166.0,2.25,LS+MCMC,0.0,7.953547
147,5531576,Kepler-240 b,K00837.02,CONFIRMED,0.017441,4768.0,0.779,2,316.0,1.48,LS+MCMC,0.0,4.14451656
149,6291653,Kepler-702 b,K00850.01,CONFIRMED,0.095143,5386.0,0.793,1,129.0,8.24,LS+MCMC,0.0,10.526294577
150,6392727,Kepler-703 b,K00851.01,CONFIRMED,0.056287,5815.0,0.877,1,297.0,5.39,LS+MCMC,0.0,4.583520948
151,6422070,Kepler-704 b,K00852.01,CONFIRMED,0.025656,5653.0,0.949,1,273.0,2.66,LS+MCMC,0.0,3.76181843
152,6428700,Kepler-242 b,K00853.01,CONFIRMED,0.033372,5015.0,0.826,2,162.0,3.01,LS+MCMC,0.0,8.20396958
153,6428700,Kepler-242 c,K00853.02,CONFIRMED,0.033377,5015.0,0.826,2,89.0,3.01,LS+MCMC,0.0,14.49645186
155,5794379,Kepler-241 b,K00842.01,CONFIRMED,0.030871,4702.0,0.686,2,107.0,2.31,LS+MCMC,0.0,12.71809866
156,5794379,Kepler-241 c,K00842.02,CONFIRMED,0.035281,4702.0,0.686,2,38.0,2.64,LS+MCMC,0.0,36.06588163
157,5881688,Kepler-696 b,K00843.01,CONFIRMED,0.050076,6073.0,1.135,1,318.0,6.21,LS+MCMC,0.0,4.190425659
158,6022556,Kepler-697 b,K00844.01,CONFIRMED,0.040686,5727.0,0.978,1,279.0,4.35,LS+MCMC,0.0,3.709870784
159,6032497,Kepler-698 b,K00845.01,CONFIRMED,0.034822,5878.0,0.987,1,85.0,3.75,LS+MCMC,0.0,16.3297527
160,6061119,Kepler-699 b,K00846.01,CONFIRMED,0.161479,5862.0,0.785,1,50.0,13.84,LS+MCMC,0.0,27.807566216
161,6191521,Kepler-700 b,K00847.01,CONFIRMED,0.056129,5510.0,1.238,1,17.0,7.59,LS+MCMC,0.0,80.8723469
163,3531558,Kepler-467 b,K00118.01,CONFIRMED,0.015956,5718.0,1.317,1,53.0,2.29,LS+MCMC,0.0,24.99324319
164,6276477,Kepler-701 b,K00849.01,CONFIRMED,0.024674,5501.0,0.918,1,127.0,2.47,LS+MCMC,0.0,10.35533116
165,6863998,Kepler-709 b,K00867.01,CONFIRMED,0.040767,5239.0,0.826,1,82.0,3.68,LS+MCMC,0.0,16.08518937
167,6948054,Kepler-245 b,K00869.01,CONFIRMED,0.029843,5103.0,0.787,4,178.0,2.56,LS+MCMC,0.0,7.49018305
168,6948054,Kepler-245 d,K00869.02,CONFIRMED,0.035273,5103.0,0.787,4,39.0,3.03,LS+MCMC,0.0,36.2761238
169,6948054,Kepler-245 c,K00869.03,CONFIRMED,0.026969,5103.0,0.787,4,69.0,2.32,LS+MCMC,0.0,17.46087931
170,6435936,Kepler-705 b,K00854.01,CONFIRMED,0.036134,3593.0,0.491,1,24.0,1.94,LS+MCMC,0.0,56.0560754
171,6522242,Kepler-706 b,K00855.01,CONFIRMED,0.139516,5522.0,0.747,1,33.0,11.38,LS+MCMC,0.0,41.408316686
173,6587280,Kepler-243 b,K00857.01,CONFIRMED,0.027348,5237.0,0.826,2,181.0,2.47,LS+MCMC,0.0,5.715425977
174,9471974,Kepler-108 B b,K00119.01,CONFIRMED,0.036501,5626.0,2.057,2,29.0,8.2,LS+MCMC,0.0,49.18394185
175,6587280,Kepler-243 c,K00857.02,CONFIRMED,0.025305,5237.0,0.826,2,54.0,2.28,LS+MCMC,0.0,20.0261412
178,6685526,Kepler-707 b,K00861.01,CONFIRMED,0.015942,5265.0,0.81,1,595.0,1.41,LS+MCMC,0.0,2.237489571
180,6784235,Kepler-708 b,K00863.01,CONFIRMED,0.025513,5895.0,0.94,1,430.0,2.62,LS+MCMC,0.0,3.167893418
181,6849310,Kepler-244 b,K00864.01,CONFIRMED,0.030716,5527.0,0.927,3,299.0,3.11,LS+MCMC,0.0,4.311780262
182,6849310,Kepler-244 d,K00864.02,CONFIRMED,0.026569,5527.0,0.927,3,64.0,2.69,LS+MCMC,0.0,20.0504494
183,6849310,Kepler-244 c,K00864.03,CONFIRMED,0.026407,5527.0,0.927,3,122.0,2.67,LS+MCMC,0.0,9.76734503
185,9471974,Kepler-108 B c,K00119.02,CONFIRMED,0.034654,5626.0,2.057,2,7.0,7.78,LS+MCMC,0.0,190.3200468
187,7366258,Kepler-82 b,K00880.01,CONFIRMED,0.038511,5427.0,0.929,4,53.0,3.91,LS+MCMC,0.0,26.44439337
188,7366258,Kepler-82 c,K00880.02,CONFIRMED,0.05435,5427.0,0.929,4,28.0,5.51,LS+MCMC,0.0,51.53997972
189,7366258,Kepler-82 e,K00880.03,CONFIRMED,0.023909,5427.0,0.929,4,220.0,2.43,LS+MCMC,0.0,5.902245782
190,7366258,Kepler-82 d,K00880.04,CONFIRMED,0.018369,5427.0,0.929,4,515.0,1.86,LS+MCMC,0.0,2.382951591
191,7373451,Kepler-712 b,K00881.01,CONFIRMED,0.037466,5067.0,0.75,2,67.0,3.07,LS+MCMC,0.0,21.02250608
192,6948054,Kepler-245 e,K00869.04,CONFIRMED,0.019702,5103.0,0.787,4,391.0,1.69,LS+MCMC,0.0,3.219814777
193,6949607,Kepler-28 b,K00870.01,CONFIRMED,0.027826,4072.0,0.57,2,227.0,1.73,LS+MCMC,0.0,5.912273234
194,6949607,Kepler-28 c,K00870.02,CONFIRMED,0.026527,4072.0,0.57,2,145.0,1.65,LS+MCMC,0.0,8.98581901
197,7109675,Kepler-46 b,K00872.01,CONFIRMED,0.083298,5149.0,0.93,2,39.0,8.46,LS+MCMC,0.0,33.60123371
198,7109675,Kepler-46 d,K00872.02,CONFIRMED,0.019382,5149.0,0.93,2,194.0,1.97,LS+MCMC,0.0,6.76652928
199,7118364,Kepler-710 b,K00873.01,CONFIRMED,0.019273,5754.0,1.122,1,307.0,2.36,LS+MCMC,0.0,4.347288783
200,7134976,Kepler-246 b,K00874.01,CONFIRMED,0.02579,4986.0,0.833,2,295.0,2.35,LS+MCMC,0.0,4.601811819
201,7134976,Kepler-246 c,K00874.02,CONFIRMED,0.017042,4986.0,0.833,2,117.0,1.55,LS+MCMC,0.0,11.18719905
204,7287995,Kepler-81 b,K00877.01,CONFIRMED,0.033728,4261.0,0.633,3,226.0,2.33,LS+MCMC,0.0,5.95489993
205,7287995,Kepler-81 c,K00877.02,CONFIRMED,0.031605,4261.0,0.633,3,106.0,2.18,LS+MCMC,0.0,12.03987488
206,7287995,Kepler-81 d,K00877.03,CONFIRMED,0.020532,4261.0,0.633,3,67.0,1.42,LS+MCMC,0.0,20.83762895
208,7303253,Kepler-711 b,K00878.01,CONFIRMED,0.040151,4919.0,0.721,1,56.0,3.16,LS+MCMC,0.0,23.58917143
209,5094751,Kepler-109 b,K00123.01,CONFIRMED,0.017836,5945.0,1.302,2,214.0,2.54,LS+MCMC,0.0,6.481633073
210,7678434,Kepler-716 b,K00892.01,CONFIRMED,0.033023,5121.0,0.888,2,128.0,3.2,LS+MCMC,0.0,10.37168928
212,7685981,Kepler-717 b,K00893.01,CONFIRMED,0.025379,6007.0,0.961,1,279.0,2.66,LS+MCMC,0.0,4.40841331
214,7373451,Kepler-712 c,K00881.02,CONFIRMED,0.055361,5067.0,0.75,2,7.0,4.53,LS+MCMC,0.0,226.8904775
217,7434875,Kepler-247 c,K00884.01,CONFIRMED,0.048953,5097.0,0.779,3,144.0,4.16,LS+MCMC,0.0,9.439459486
218,8349582,Kepler-95 b,K00122.01,CONFIRMED,0.020288,5644.0,1.411,1,116.0,3.13,LS+MCMC,0.0,11.523067458
219,7434875,Kepler-247 d,K00884.02,CONFIRMED,0.034376,5097.0,0.779,3,59.0,2.92,LS+MCMC,0.0,20.47748843
220,7434875,Kepler-247 b,K00884.03,CONFIRMED,0.020396,5097.0,0.779,3,386.0,1.74,LS+MCMC,0.0,3.336123113
221,7455287,Kepler-54 b,K00886.01,CONFIRMED,0.03347,3713.0,0.47,3,168.0,1.72,LS+MCMC,0.0,8.01078456
222,7455287,Kepler-54 c,K00886.02,CONFIRMED,0.025158,3713.0,0.47,3,112.0,1.29,LS+MCMC,0.0,12.07134205
223,7455287,Kepler-54 d,K00886.03,CONFIRMED,0.025412,3713.0,0.47,3,55.0,1.3,LS+MCMC,0.0,20.99587872
224,7458762,Kepler-713 b,K00887.01,CONFIRMED,0.024438,5849.0,0.919,1,181.0,2.45,LS+MCMC,0.0,7.41113177
226,757450,Kepler-75 b,K00889.01,CONFIRMED,0.114124,5332.0,0.843,1,153.0,10.51,LS+MCMC,0.0,8.884922995
227,7585481,Kepler-714 b,K00890.01,CONFIRMED,0.076211,6214.0,1.076,1,168.0,8.95,LS+MCMC,0.0,8.09888906
228,7663691,Kepler-715 b,K00891.01,CONFIRMED,0.032174,6063.0,1.001,1,135.0,3.52,LS+MCMC,0.0,10.00653012
229,5812701,Kepler-448 b,K00012.01,CONFIRMED,0.08815,6823.0,1.367,1,75.0,13.16,LS+MCMC,0.0,17.855221681
232,8039892,Kepler-719 b,K00903.01,CONFIRMED,0.077106,5865.0,0.827,1,271.0,6.96,LS+MCMC,0.0,5.007316661
233,8150320,Kepler-55 d,K00904.01,CONFIRMED,0.026289,4500.0,0.646,5,603.0,1.85,LS+MCMC,0.0,2.211116989
234,8150320,Kepler-55 b,K00904.02,CONFIRMED,0.026973,4500.0,0.646,5,48.0,1.9,LS+MCMC,0.0,27.9541337
235,11086270,Kepler-110 b,K00124.01,CONFIRMED,0.014487,5869.0,1.626,2,108.0,2.57,LS+MCMC,0.0,12.69104387
237,7825899,Kepler-248 c,K00896.01,CONFIRMED,0.045252,5191.0,0.837,3,83.0,4.14,LS+MCMC,0.0,16.23947096
238,7825899,Kepler-248 b,K00896.02,CONFIRMED,0.032418,5191.0,0.837,3,205.0,2.96,LS+MCMC,0.0,6.308201629
239,7849854,Kepler-718 b,K00897.01,CONFIRMED,0.11123,5855.0,1.08,1,650.0,13.12,LS+MCMC,0.0,2.052349884
240,7870390,Kepler-83 A b,K00898.01,CONFIRMED,0.040133,3906.0,0.509,3,135.0,2.23,LS+MCMC,0.0,9.7704486
241,7870390,Kepler-83 A d,K00898.02,CONFIRMED,0.029936,3906.0,0.509,3,256.0,1.66,LS+MCMC,0.0,5.169804269
242,5094751,Kepler-109 c,K00123.02,CONFIRMED,0.01746,5945.0,1.302,2,64.0,2.48,LS+MCMC,0.0,21.22261195
243,7870390,Kepler-83 A c,K00898.03,CONFIRMED,0.040437,3906.0,0.509,3,63.0,2.25,LS+MCMC,0.0,20.09017037
244,7907423,Kepler-249 c,K00899.01,CONFIRMED,0.025862,3561.0,0.411,3,186.0,1.16,LS+MCMC,0.0,7.11373257
245,7907423,Kepler-249 b,K00899.02,CONFIRMED,0.020275,3561.0,0.411,3,398.0,0.91,LS+MCMC,0.0,3.306551643
246,7907423,Kepler-249 d,K00899.03,CONFIRMED,0.02471,3561.0,0.411,3,82.0,1.11,LS+MCMC,0.0,15.36845737
248,8490993,Kepler-722 b,K00911.01,CONFIRMED,0.026123,6077.0,0.999,2,328.0,2.85,LS+MCMC,0.0,4.093578461
249,8490993,Kepler-722 c,K00911.02,CONFIRMED,0.031397,6077.0,0.999,2,13.0,3.43,LS+MCMC,0.0,105.145959
250,8505670,Kepler-252 c,K00912.01,CONFIRMED,0.036303,4201.0,0.591,2,122.0,2.34,LS+MCMC,0.0,10.8484518
251,8505670,Kepler-252 b,K00912.02,CONFIRMED,0.018246,4201.0,0.591,2,192.0,1.18,LS+MCMC,0.0,6.66833241
252,8544996,Kepler-723 b,K00913.01,CONFIRMED,0.121652,5655.0,0.794,1,329.0,10.55,LS+MCMC,0.0,4.082274889
254,8150320,Kepler-55 c,K00904.03,CONFIRMED,0.026274,4500.0,0.646,5,28.0,1.85,LS+MCMC,0.0,42.1406089
255,8150320,Kepler-55 e,K00904.04,CONFIRMED,0.023024,4500.0,0.646,5,272.0,1.62,LS+MCMC,0.0,4.617490562
256,8150320,Kepler-55 f,K00904.05,CONFIRMED,0.024778,4500.0,0.646,5,119.0,1.75,LS+MCMC,0.0,10.19849255
258,8226994,Kepler-250 c,K00906.01,CONFIRMED,0.026979,5029.0,0.838,3,186.0,2.47,LS+MCMC,0.0,7.15681552
259,8226994,Kepler-250 d,K00906.02,CONFIRMED,0.026581,5029.0,0.838,3,73.0,2.43,LS+MCMC,0.0,17.64830851
260,8226994,Kepler-250 b,K00906.03,CONFIRMED,0.011755,5029.0,0.838,3,314.0,1.08,LS+MCMC,0.0,4.14810719
261,8247638,Kepler-251 c,K00907.01,CONFIRMED,0.028718,5527.0,0.866,4,76.0,2.72,LS+MCMC,0.0,16.51410989
262,8247638,Kepler-251 d,K00907.02,CONFIRMED,0.03322,5527.0,0.866,4,37.0,3.14,LS+MCMC,0.0,30.1329298
263,8247638,Kepler-251 b,K00907.03,CONFIRMED,0.014349,5527.0,0.866,4,242.0,1.36,LS+MCMC,0.0,4.79090809
264,11086270,Kepler-110 c,K00124.02,CONFIRMED,0.017414,5869.0,1.626,2,44.0,3.09,LS+MCMC,0.0,31.71981013
265,8247638,Kepler-251 e,K00907.04,CONFIRMED,0.027879,5527.0,0.866,4,12.0,2.64,LS+MCMC,0.0,99.6415962
266,8255887,Kepler-720 b,K00908.01,CONFIRMED,0.080242,5560.0,1.21,1,285.0,10.6,LS+MCMC,0.0,4.708326451
268,8414716,Kepler-721 b,K00910.01,CONFIRMED,0.030649,5198.0,0.801,1,244.0,2.68,LS+MCMC,0.0,5.392026903
270,9141746,Kepler-730 b,K00929.01,CONFIRMED,0.079893,6123.0,1.107,2,189.0,9.66,LS+MCMC,0.0,6.491682808
272,9166862,Kepler-731 b,K00931.01,CONFIRMED,0.119176,6033.0,1.046,1,350.0,13.61,LS+MCMC,0.0,3.855603916
274,11449844,Kepler-468 b,K00125.01,CONFIRMED,0.138123,5510.0,0.879,1,35.0,13.26,LS+MCMC,0.0,38.47876629
